2026-07-04 16:17:53 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-12.html [200]
2026-07-04 16:17:53 | INFO     | scraper.fetcher | Page 12 fetched
2026-07-04 16:17:54 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-13.html
2026-07-04 16:17:55 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-13.html [200]
2026-07-04 16:17:55 | INFO     | scraper.fetcher | Page 13 fetched
2026-07-04 16:17:56 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-14.html
2026-07-04 16:17:56 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-14.html [200]
2026-07-04 16:17:56 | INFO     | scraper.fetcher | Page 14 fetched
2026-07-04 16:17:57 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-15.html
2026-07-04 16:17:58 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-15.html [200]
2026-07-04 16:17:58 | INFO     | scraper.fetcher | Page 15 fetched
2026-07-04 16:17:59 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-16.html
2026-07-04 16:18:00 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-16.html [200]
2026-07-04 16:18:00 | INFO     | scraper.fetcher | Page 16 fetched
2026-07-04 16:18:01 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-17.html
2026-07-04 16:18:02 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-17.html [200]
2026-07-04 16:18:02 | INFO     | scraper.fetcher | Page 17 fetched
2026-07-04 16:18:03 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-18.html
2026-07-04 16:18:04 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-18.html [200]
2026-07-04 16:18:04 | INFO     | scraper.fetcher | Page 18 fetched
2026-07-04 16:18:05 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-19.html
2026-07-04 16:18:06 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-19.html [200]
2026-07-04 16:18:06 | INFO     | scraper.fetcher | Page 19 fetched
2026-07-04 16:18:07 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-20.html
2026-07-04 16:18:07 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-20.html [200]
2026-07-04 16:18:07 | INFO     | scraper.fetcher | Page 20 fetched
2026-07-04 16:18:08 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-21.html
2026-07-04 16:18:09 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-21.html [200]
2026-07-04 16:18:09 | INFO     | scraper.fetcher | Page 21 fetched
2026-07-04 16:18:10 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-22.html
2026-07-04 16:18:11 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-22.html [200]
2026-07-04 16:18:11 | INFO     | scraper.fetcher | Page 22 fetched
2026-07-04 16:18:12 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-23.html
2026-07-04 16:18:13 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-23.html [200]
2026-07-04 16:18:13 | INFO     | scraper.fetcher | Page 23 fetched
2026-07-04 16:18:14 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-24.html
